#{"t_start": 1614252691.418022}
r,l,t,rew_unnormalized,forces
1.9580501,32.0,1918.8193204402924,-14866.893,994.5114
2.0629525,32.0,1931.1238646507263,-11829.535,999.4772
1.9995099,32.0,1943.5929279327393,-13372.585,1000.341
1.9381467,32.0,1956.0775609016418,-14863.947,1029.1582
1.9316853,32.0,1968.5436868667603,-14868.789,1026.1611
1.9730978,32.0,1981.0032365322113,-13589.169,999.2556
1.9097848,32.0,1993.179105758667,-15120.729,1031.3711
1.9892874,32.0,2005.0623142719269,-12823.915,987.1507
1.9384013,32.0,2017.3990857601166,-14021.265,993.11346
1.9488252,32.0,2029.6990678310394,-13578.78,1007.90015
1.9440418,32.0,2041.684254169464,-13548.791,1018.14056
1.8660448,32.0,2054.0136585235596,-15450.33,1022.0018
1.8715603,32.0,2066.507675409317,-15161.638,1044.8502
1.9501474,32.0,2079.025997400284,-12942.66,1016.8647
1.9139493,32.0,2091.471370458603,-13739.027,1010.23456
1.8571293,32.0,2103.7604389190674,-15076.881,1019.12756
1.9301796,32.0,2116.1669414043427,-13017.699,1021.7606
1.844009,32.0,2128.50980758667,-15116.026,1009.7095
1.8874297,32.0,2140.8870298862457,-13845.47,990.889
1.8719406,32.0,2153.449193954468,-14096.192,999.8568
1.9206465,32.0,2165.9966807365417,-12709.315,1003.2469
1.9136384,32.0,2178.2126517295837,-12746.268,991.421
1.9071606,32.0,2190.5691962242126,-12770.701,984.93506
1.9016849,32.0,2203.2231454849243,-12766.921,1029.9027
1.8546005,32.0,2215.6653110980988,-13834.478,1013.4654
1.9263093,32.0,2227.833434820175,-11867.34,1020.4654
1.8557225,32.0,2240.5115144252777,-13524.084,997.55554
1.8280519,32.0,2253.3720195293427,-14091.273,1018.9857
1.8348125,32.0,2265.7763934135437,-13789.218,1013.3876
1.7748854,32.0,2278.4690997600555,-15167.615,1021.15735
1.8479986,32.0,2291.221857070923,-13211.102,1010.2006
1.8340709,32.0,2305.188125371933,-13432.699,1016.7993
1.855901,32.0,2318.6526415348053,-12765.162,1008.13696
1.8800908,32.0,2331.7771213054657,-12034.818,1001.96436
1.8382595,32.0,2344.197160959244,-12949.093,1021.4687
1.8862993,32.0,2356.743161201477,-11638.544,980.54865
1.7875117,32.0,2369.508071422577,-13954.008,1031.989
1.9471948,32.0,2381.7151217460632,-9902.65,1008.78925
1.7110025,32.0,2394.214431285858,-15585.278,1036.4623
1.7575998,32.0,2406.723833799362,-14331.089,1023.8152
1.7792128,32.0,2419.082832336426,-13690.656,1029.3136
1.805298,32.0,2431.520742416382,-12936.041,1019.2863
1.8152014,32.0,2444.2401077747345,-12585.844,1010.0472
1.8086197,32.0,2456.716841697693,-12625.142,1013.6399
1.8588784,32.0,2469.1603307724,-11298.825,1009.4877
1.8407594,32.0,2481.7492260932922,-11621.075,1016.3108
1.7730076,32.0,2494.1030793190002,-13140.421,1012.84296
1.7453232,32.0,2506.5970051288605,-13698.116,1035.5043
1.7787341,32.0,2519.0252799987793,-12795.994,990.0105
1.8131862,32.0,2531.531110048294,-11861.648,1020.1275
1.7773929,32.0,2544.121666431427,-12608.251,1006.0834
1.8304592,32.0,2556.7404367923737,-11242.562,1004.31226
1.7639011,32.0,2569.227628469467,-12713.644,995.4286
1.8259368,32.0,2581.7893302440643,-11147.896,996.07117
1.7036992,32.0,2594.404744386673,-13927.125,1033.3091
1.7256589,32.0,2607.2336602211,-13315.622,1045.0066
1.6715404,32.0,2619.2938656806946,-14482.517,1033.103
1.7615508,32.0,2631.6339843273163,-12281.432,1017.54095
1.6196615,32.0,2644.138682603836,-15504.076,1055.2925
1.6857896,32.0,2656.8524792194366,-13868.525,1034.8174
1.7519324,32.0,2669.5771758556366,-12234.916,1023.83234
1.7021488,32.0,2682.0515608787537,-13291.139,1046.2845
1.6737901,32.0,2694.6317598819733,-13857.809,1039.8828
