#{"t_start": 1611072861.059411, "env_id": "burger-v106"}
r,l,t
-0.143072,32,82.899256
-0.078254,32,83.071173
-0.134425,32,83.243484
-0.150729,32,83.414923
-0.1511,32,83.587107
-0.119597,32,83.759062
-0.011328,32,83.930639
-0.236728,32,84.102905
-0.106355,32,84.275402
-0.043342,32,84.448328
-0.160761,32,84.620958
-0.248227,32,84.793416
-0.096693,32,84.965516
-0.227636,32,85.138213
-0.092339,32,85.310871
-0.101359,32,85.482664
-0.335222,32,85.654637
-0.15101,32,85.825899
-0.068857,32,85.997927
-0.03012,32,86.169968
-0.259833,32,86.341844
-0.253159,32,86.513612
-0.161386,32,86.685402
-0.092178,32,86.856839
-0.055593,32,87.028582
-0.11531,32,87.200973
-0.341457,32,87.372782
-0.208811,32,88.934647
-0.097631,32,89.112192
-0.040025,32,89.289635
-0.104858,32,89.466186
-0.155073,32,89.642823
-0.146874,32,89.818455
-0.114177,32,89.994703
-0.184967,32,90.170678
-0.165672,32,90.346877
-0.088752,32,90.523401
-0.128507,32,90.699439
-0.136865,32,90.875921
-0.066426,32,91.052147
-0.237276,32,91.228142
-0.237922,32,91.404017
-0.269066,32,91.580553
-0.276283,32,91.756093
-0.090877,32,91.932606
-0.068197,32,92.108262
-0.128998,32,92.284577
-0.509063,32,92.460638
-0.126519,32,92.636597
-0.189139,32,92.812441
-0.251978,32,92.988194
-0.118915,32,93.16402
-0.218411,32,93.340171
-0.060449,32,93.516002
-0.044826,32,93.691816
-0.104274,32,93.867847
-0.155022,32,94.044107
-0.162168,32,94.220096
-0.139498,32,94.396483
-0.156037,32,94.572707
-0.240156,32,94.748853
-0.007229,32,94.92487
-0.133748,32,95.100894
-0.419535,32,95.277263
-0.229582,32,95.452712
-0.041663,32,95.628224
-0.041205,32,95.804553
-0.1194,32,95.980621
-0.158851,32,96.156358
-0.220118,32,96.332318
-0.113189,32,96.508247
-0.248643,32,96.684303
-0.195813,32,96.860335
-0.077085,32,97.036212
-0.126554,32,97.212339
-0.0678,32,97.38839
-0.114567,32,97.564662
-0.175204,32,97.74096
-0.061951,32,97.917281
-0.084724,32,98.093283
-0.019797,32,98.269506
-0.160294,32,98.445336
-0.104743,32,98.620848
-0.128205,32,98.796767
-0.030626,32,98.973056
-0.112065,32,99.148718
-0.083931,32,99.324495
-0.167128,32,99.500721
-0.079512,32,99.676866
-0.157744,32,99.853309
-0.189205,32,100.03028
-0.168187,32,101.579561
-0.073937,32,101.751634
-0.051231,32,101.924495
-0.130989,32,102.095805
-0.124958,32,102.26675
-0.027149,32,102.437088
-0.281625,32,102.607382
-0.181467,32,102.777979
-0.241878,32,102.948931
-0.198269,32,103.119262
-0.184427,32,103.289687
-0.144213,32,103.460573
-0.068849,32,103.631008
-0.137681,32,103.80109
-0.082531,32,103.971923
-0.065021,32,104.142547
-0.028696,32,104.313433
-0.095078,32,104.484473
-0.131247,32,104.656169
-0.193133,32,104.827014
-0.203184,32,104.998023
-0.195136,32,105.168828
-0.249697,32,105.339319
-0.18927,32,105.510566
-0.10334,32,105.681704
-0.159209,32,105.852532
-0.08254,32,106.023592
-0.091328,32,106.194721
-0.059297,32,106.365569
-0.255575,32,106.536718
-0.480843,32,106.706913
-0.08168,32,106.877916
-0.216456,32,107.04931
-0.056309,32,107.2211
-0.134774,32,107.392241
-0.019473,32,107.562903
-0.150391,32,107.733306
-0.210956,32,107.904305
-0.039223,32,108.074965
-0.06483,32,108.246107
-0.053585,32,108.417102
-0.366821,32,108.587693
-0.124975,32,108.75877
-0.113493,32,108.929938
-0.136213,32,109.099993
-0.283769,32,109.271044
-0.06349,32,109.442234
-0.079486,32,109.614691
-0.118519,32,109.786521
-0.28353,32,109.957692
-0.123431,32,110.128337
-0.146472,32,110.298606
-0.071381,32,110.46885
-0.259677,32,110.639459
-0.229091,32,110.810109
-0.270374,32,110.981416
-0.028956,32,111.15201
-0.029235,32,111.322798
-0.074972,32,111.492846
-0.058575,32,111.663303
-0.076529,32,111.833921
-0.313645,32,112.004746
-0.132298,32,112.175648
-0.168678,32,112.346335
-0.286929,32,113.932692
-0.155764,32,114.112341
-0.081101,32,114.291919
-0.089551,32,114.470638
-0.163102,32,114.649493
-0.053517,32,114.827937
-0.0957,32,115.00699
-0.146811,32,115.185502
-0.076819,32,115.363536
-0.139496,32,115.541752
-0.168703,32,115.72014
-0.260111,32,115.899393
-0.083813,32,116.077802
-0.123851,32,116.256626
-0.08576,32,116.435206
-0.034055,32,116.613687
-0.132951,32,116.79279
-0.033136,32,116.972635
-0.041431,32,117.15208
-0.11549,32,117.330285
-0.053488,32,117.509305
-0.138649,32,117.687778
-0.149692,32,117.867464
-0.086031,32,118.046024
-0.110869,32,118.22451
-0.1558,32,118.403152
-0.10913,32,118.585252
-0.215164,32,118.768001
-0.117618,32,118.951096
-0.071287,32,119.133237
-0.138962,32,119.31632
-0.137497,32,119.501475
-0.045322,32,119.688698
-0.205471,32,119.874615
-0.267559,32,120.058037
-0.164116,32,120.241302
-0.07578,32,120.421355
-0.152471,32,120.600925
-0.155814,32,120.78138
-0.011656,32,120.961554
-0.23363,32,121.141858
-0.244726,32,121.323181
-0.051984,32,121.506977
-0.125877,32,121.689775
-0.051423,32,121.873705
-0.110529,32,122.059264
-0.059683,32,122.245866
-0.060212,32,122.428656
-0.222972,32,122.615626
-0.178837,32,122.796457
-0.133837,32,122.978488
-0.416416,32,123.161309
-0.073786,32,123.342787
-0.153964,32,123.522518
-0.178464,32,123.701838
-0.270903,32,123.882801
-0.284814,32,124.063838
-0.054757,32,124.245244
-0.182949,32,124.42781
-0.107406,32,124.609054
-0.061204,32,124.790035
-0.155832,32,124.984228
-0.123919,32,125.172795
-0.238591,32,125.35438
-0.073895,32,126.825359
-0.358992,32,126.998735
-0.051062,32,127.172393
-0.13729,32,127.345417
-0.04088,32,127.518016
-0.069586,32,127.691842
-0.083154,32,127.865335
-0.075441,32,128.038667
-0.060911,32,128.212174
-0.367153,32,128.38518
-0.096634,32,128.558054
-0.421649,32,128.73133
-0.070066,32,128.90488
-0.111498,32,129.078396
-0.293017,32,129.251643
-0.105812,32,129.425171
-0.213766,32,129.597379
-0.003034,32,129.770938
-0.044608,32,129.9445
-0.077513,32,130.117033
-0.17344,32,130.289896
-0.249201,32,130.46238
-0.149646,32,130.635302
-0.041955,32,130.808557
-0.134989,32,130.981633
-0.377495,32,131.15393
-0.187736,32,131.326177
-0.167546,32,131.498246
-0.372295,32,131.671132
-0.187418,32,131.843702
-0.084016,32,132.017019
-0.282303,32,132.18979
-0.144379,32,132.362606
-0.122196,32,132.534917
-0.301553,32,132.708646
-0.085984,32,132.881301
-0.137222,32,133.053812
-0.105733,32,133.226564
-0.180917,32,133.399358
-0.455221,32,133.571814
-0.125534,32,133.746012
-0.170787,32,133.920121
-0.025594,32,134.093073
-0.030174,32,134.265628
-0.095069,32,134.437682
-0.07605,32,134.612664
-0.212836,32,134.786574
-0.233701,32,134.96021
-0.067589,32,135.133536
-0.090564,32,135.306438
-0.056584,32,135.479189
-0.088522,32,135.651924
-0.065405,32,135.824748
-0.205003,32,135.998626
-0.106469,32,136.171535
-0.114305,32,136.344862
-0.139916,32,136.51787
-0.093725,32,136.690848
-0.160312,32,136.86482
-0.204564,32,137.038197
-0.140461,32,137.211571
-0.276875,32,137.385213
-0.142446,32,137.558648
-0.013686,32,137.7311
-0.133213,32,139.15069
-0.27369,32,139.324118
-0.238573,32,139.497113
-0.120822,32,139.671331
-0.172414,32,139.843461
-0.062206,32,140.016824
-0.081057,32,140.189849
-0.170734,32,140.363027
-0.118209,32,140.535422
-0.049108,32,140.708184
-0.057203,32,140.880956
-0.175894,32,141.053877
-0.186436,32,141.226538
-0.014828,32,141.39925
-0.128893,32,141.571635
-0.120258,32,141.74396
-0.166626,32,141.916572
-0.13283,32,142.089047
-0.242738,32,142.262548
-0.127999,32,142.435205
-0.161688,32,142.607203
-0.038952,32,142.780489
-0.138955,32,142.953238
-0.030017,32,143.128214
-0.223046,32,143.302582
-0.16174,32,143.475579
-0.104041,32,143.648714
-0.195808,32,143.820935
-0.127422,32,143.99406
-0.270049,32,144.16684
-0.198543,32,144.339694
-0.055661,32,144.512719
-0.202193,32,144.686316
-0.352745,32,144.85919
-0.149773,32,145.032938
