#{"t_start": 1613222802.8017235}
r,l,t
1.7365516,32.0,3615.1861622333527
1.7465631,32.0,3627.1195747852325
1.6701299,32.0,3638.892773628235
1.6574053,32.0,3650.8374502658844
1.7535886,32.0,3662.690375804901
1.685203,32.0,3674.958639860153
1.6924613,32.0,3686.987140893936
1.6909018,32.0,3699.0725796222687
1.6924821,32.0,3711.479339361191
1.7408484,32.0,3723.5434517860413
1.7160997,32.0,3735.6289699077606
1.7050858,32.0,3747.816130876541
1.7025626,32.0,3759.5709524154663
1.6789802,32.0,3771.4001035690308
1.6384556,32.0,3783.943712949753
1.6816764,32.0,3796.5364620685577
1.7139858,32.0,3809.410437822342
1.6544714,32.0,3822.075721502304
1.5948493,32.0,3835.105435371399
1.7190602,32.0,3847.8205757141113
1.698228,32.0,3860.8598260879517
1.6693699,32.0,3873.7401671409607
1.666906,32.0,3886.446141242981
1.6717474,32.0,3899.0818848609924
1.6876347,32.0,3911.4775953292847
1.6436431,32.0,3924.3423721790314
1.6974548,32.0,3937.2402670383453
1.6870217,32.0,3949.8451914787292
1.6391155,32.0,3962.595495700836
1.6689743,32.0,3975.505117893219
1.6742232,32.0,3988.332246541977
1.7051837,32.0,4000.847422838211
1.6411036,32.0,4013.677634239197
1.6844456,32.0,4026.1235139369965
1.5971059,32.0,4038.2079796791077
1.6880417,32.0,4049.991577386856
1.662747,32.0,4062.1705343723297
1.6942134,32.0,4074.228474378586
1.6761632,32.0,4086.2253420352936
1.6410544,32.0,4098.13506436348
1.6429008,32.0,4110.140721082687
1.6817255,32.0,4121.971907615662
1.6670616,32.0,4134.162575721741
1.6879927,32.0,4146.220148324966
1.6345519,32.0,4158.068007946014
1.6265395,32.0,4170.170147895813
1.7013375,32.0,4181.8362011909485
1.6157535,32.0,4193.748868703842
1.6641008,32.0,4205.334076166153
1.6376309,32.0,4216.796131372452
1.6592612,32.0,4229.29131269455
1.652176,32.0,4241.802961349487
1.6452962,32.0,4253.737341165543
1.5756799,32.0,4266.476133823395
1.6585448,32.0,4278.6243760585785
1.6299099,32.0,4290.641847610474
1.5988181,32.0,4302.590739965439
1.6634393,32.0,4314.323016643524
1.6271013,32.0,4326.271497488022
1.6009363,32.0,4338.200037956238
1.6677725,32.0,4350.001084566116
1.6426294,32.0,4364.363235473633
1.5946504,32.0,4378.726588726044
1.5560985,32.0,4393.488580703735
1.6423761,32.0,4407.83536529541
1.6382703,32.0,4421.890617609024
1.6070708,32.0,4433.163422584534
1.6284878,32.0,4444.3152141571045
1.6057649,32.0,4455.49534535408
1.5782684,32.0,4466.749268054962
1.6103253,32.0,4478.51313328743
1.5907555,32.0,4489.689113140106
1.6501697,32.0,4501.583263874054
1.6017472,32.0,4513.554787158966
1.6192535,32.0,4528.4008848667145
1.5953182,32.0,4543.270341873169
1.6335858,32.0,4557.564763307571
1.655733,32.0,4571.855834245682
1.5531671,32.0,4583.802508592606
1.6494532,32.0,4595.664222955704
1.6129751,32.0,4607.807163000107
1.5787802,32.0,4619.8655478954315
1.6189919,32.0,4631.968800067902
1.5635445,32.0,4643.987231731415
1.580763,32.0,4656.109037876129
1.6701168,32.0,4668.291210174561
1.5994488,32.0,4680.1582753658295
1.5516825,32.0,4691.822491407394
1.6185842,32.0,4703.658661603928
1.5784888,32.0,4715.5752103328705
1.5755527,32.0,4727.565895795822
1.5846578,32.0,4739.586527824402
1.588908,32.0,4752.001841306686
1.5981487,32.0,4763.916335582733
1.5755205,32.0,4775.777100324631
1.58855,32.0,4787.680198669434
1.5622939,32.0,4799.468865633011
1.5973313,32.0,4811.58213019371
1.5341324,32.0,4824.9352684021
1.6098468,32.0,4839.516728401184
1.58187,32.0,4853.69796204567
1.5828787,32.0,4868.174590587616
1.5978514,32.0,4883.031188488007
1.5725925,32.0,4897.754710674286
1.5275885,32.0,4912.115023612976
1.5775728,32.0,4926.846092224121
1.5418227,32.0,4939.026776075363
1.5504327,32.0,4950.949506998062
1.5727355,32.0,4962.844359874725
1.5650601,32.0,4974.659921169281
1.5649538,32.0,4985.90952539444
1.5718652,32.0,4997.881190061569
1.5235028,32.0,5009.841548919678
1.5786573,32.0,5021.72279047966
1.529152,32.0,5033.73606133461
1.5149983,32.0,5045.683442831039
1.5726471,32.0,5057.239448547363
1.574538,32.0,5069.261923551559
1.5744019,32.0,5080.96844625473
1.576447,32.0,5092.850862264633
1.5206243,32.0,5104.667905807495
1.5598767,32.0,5116.792593002319
1.5586325,32.0,5127.917937278748
1.5450817,32.0,5139.81162405014
1.5521545,32.0,5151.751909971237
1.5258827,32.0,5163.622658967972
1.5251551,32.0,5175.399398326874
1.4583145,32.0,5187.422657728195
1.5031565,32.0,5199.054179191589
1.4682229,32.0,5210.974234819412
1.485908,32.0,5222.688317060471
1.5309976,32.0,5234.04948592186
1.5445174,32.0,5246.179359674454
1.515583,32.0,5258.214564323425
1.5079634,32.0,5269.825475215912
1.5613309,32.0,5282.849347352982
1.5274433,32.0,5297.346692085266
1.4531093,32.0,5311.665268421173
1.5404581,32.0,5326.88848233223
1.5533468,32.0,5341.517096042633
1.4912314,32.0,5356.0786809921265
1.5800039,32.0,5370.729240894318
1.546092,32.0,5385.532963514328
1.5367835,32.0,5400.224713087082
1.5497394,32.0,5414.908518314362
1.4927564,32.0,5429.486793041229
1.5018309,32.0,5444.264246940613
1.539901,32.0,5458.861935853958
1.5596123,32.0,5473.373462677002
1.5462425,32.0,5488.172446727753
1.5427084,32.0,5502.672320365906
1.5642111,32.0,5517.32946062088
1.5075357,32.0,5529.290604352951
1.4813608,32.0,5541.4564344882965
1.5425736,32.0,5553.880275249481
1.5674493,32.0,5566.145290613174
1.4919579,32.0,5578.946604728699
1.5130142,32.0,5592.823951482773
1.5319098,32.0,5607.159655094147
1.541276,32.0,5619.088604450226
1.5065758,32.0,5631.091524839401
1.5051106,32.0,5645.228522777557
1.5740663,32.0,5659.828170537949
1.550367,32.0,5674.452929019928
1.5557748,32.0,5689.400663614273
1.5261574,32.0,5704.368656396866
1.5250598,32.0,5718.966225862503
1.5225476,32.0,5731.193479061127
1.4916688,32.0,5743.028952598572
1.5426986,32.0,5754.522759437561
1.5525312,32.0,5766.539617776871
1.4731457,32.0,5777.836501836777
1.5161356,32.0,5789.086762666702
1.497696,32.0,5800.533807992935
1.5014937,32.0,5811.688873767853
1.468011,32.0,5823.265753507614
1.5052794,32.0,5835.043314218521
1.4832008,32.0,5846.816166400909
1.4952015,32.0,5858.941446781158
1.551634,32.0,5870.879927396774
1.468039,32.0,5882.842663049698
1.5253352,32.0,5894.6578204631805
1.5001391,32.0,5906.416843175888
1.5562901,32.0,5918.3323566913605
1.5275334,32.0,5930.36021900177
1.5262636,32.0,5942.173392295837
1.5429752,32.0,5953.40590429306
1.5067636,32.0,5964.400408506393
1.4844882,32.0,5975.561620235443
1.5587648,32.0,5987.504819869995
1.5083774,32.0,5998.95177936554
1.5041977,32.0,6010.612446784973
1.4724928,32.0,6021.83234333992
1.5404111,32.0,6032.994838237762
1.4822258,32.0,6045.033492565155
1.5476552,32.0,6056.882072687149
1.4970664,32.0,6068.788525104523
1.4995503,32.0,6080.69219827652
1.5216422,32.0,6095.524249315262
1.4944786,32.0,6109.8255133628845
1.504813,32.0,6124.629655122757
1.4797369,32.0,6139.2393014431
1.5216608,32.0,6153.951805114746
1.5125487,32.0,6168.640632867813
1.522637,32.0,6183.087523937225
1.4889836,32.0,6197.497739076614
1.4531975,32.0,6212.314225435257
1.4134232,32.0,6226.7482323646545
1.5160519,32.0,6241.46012711525
1.5547109,32.0,6256.165933609009
1.4956377,32.0,6271.0701286792755
1.5014952,32.0,6285.472546577454
1.4968795,32.0,6297.492639064789
1.4679472,32.0,6309.385798692703
1.4882425,32.0,6321.073153018951
1.4961673,32.0,6333.8153574466705
1.4916611,32.0,6347.415118694305
1.4841591,32.0,6359.363737821579
1.4809961,32.0,6372.935524702072
1.4601753,32.0,6387.604283809662
1.4955214,32.0,6402.181352138519
1.4771329,32.0,6417.122572183609
1.5048459,32.0,6431.860329627991
1.479738,32.0,6446.427505970001
1.4963955,32.0,6460.698538064957
1.4863532,32.0,6475.391850948334
1.4786365,32.0,6488.186338186264
1.4352629,32.0,6500.269255876541
1.4924356,32.0,6512.408789634705
1.5382129,32.0,6524.64110326767
1.4755101,32.0,6536.634268283844
1.49021,32.0,6547.9836485385895
1.4909737,32.0,6560.595241069794
1.4263077,32.0,6573.095601320267
1.4537742,32.0,6585.817596912384
1.4505434,32.0,6598.935907363892
1.4659505,32.0,6611.915114879608
1.4466351,32.0,6624.606372833252
1.4577475,32.0,6637.969260215759
1.457818,32.0,6652.098956823349
1.4436892,32.0,6666.840507984161
1.4363852,32.0,6681.709671020508
1.4647262,32.0,6696.354488611221
1.4912366,32.0,6710.892048120499
1.5079459,32.0,6725.457968473434
1.4729303,32.0,6739.762773990631
1.4590656,32.0,6754.255145549774
1.472398,32.0,6768.492800235748
1.441538,32.0,6783.044752120972
1.5156137,32.0,6797.319036483765
1.430856,32.0,6810.624427556992
1.4749848,32.0,6825.0739958286285
1.4983925,32.0,6839.804119586945
1.4548697,32.0,6854.552651643753
1.4900007,32.0,6867.440326452255
