#{"t_start": 1615205539.1109385}
r,l,t,rew_unnormalized,forces
1.3335185,32.0,10717.988729953766,-5131.9077,884.82007
1.3136613,32.0,10730.745794057846,-5431.8257,931.6633
1.297014,32.0,10743.220656394958,-5681.513,890.3301
1.3307606,32.0,10755.751492738724,-5138.78,905.1435
1.3322327,32.0,10768.067338228226,-5103.1904,915.30084
1.293754,32.0,10779.796237945557,-5695.143,925.09625
1.2816449,32.0,10791.538766145706,-5873.1562,924.1484
1.3518701,32.0,10804.028339862823,-4759.867,873.4168
1.332836,32.0,10815.894948005676,-5045.754,933.39
1.3330818,32.0,10827.494812250137,-5029.5674,929.074
1.3455161,32.0,10839.344096660614,-4822.4736,898.4589
1.3151149,32.0,10851.734199285507,-5285.739,914.9191
1.1964324,32.0,10864.414585590363,-7130.1055,900.055
1.3419232,32.0,10876.945313692093,-4844.0005,890.81
1.3209739,32.0,10889.429654836655,-5158.865,909.66974
1.3212531,32.0,10902.091794252396,-5142.3013,913.0941
1.378822,32.0,10914.540406703949,-4231.7773,874.97705
1.350458,32.0,10927.006863355637,-4661.441,904.10803
1.3196611,32.0,10939.435160398483,-5129.2305,905.9473
1.3373518,32.0,10951.782999277115,-4841.8125,903.01263
1.3570945,32.0,10963.983676195145,-4522.2505,905.40643
1.3547653,32.0,10976.033310890198,-4546.3506,867.9813
1.3431469,32.0,10988.464620828629,-4714.7036,882.1077
1.2908863,32.0,11000.874320745468,-5515.0176,919.1741
1.329852,32.0,11013.291662931442,-4898.1753,886.6716
1.1459347,32.0,11025.566243886948,-7741.873,924.2432
1.3498698,32.0,11037.769585847855,-4566.2803,891.1384
1.2988628,32.0,11050.226717472076,-5344.683,894.83936
0.83806795,32.0,11062.472010850906,-12474.218,905.5564
1.2867441,32.0,11074.829378128052,-5510.04,903.4512
1.3175159,32.0,11087.278856992722,-5022.2188,905.52985
1.2195679,32.0,11098.749771118164,-6525.6655,904.23486
1.3365189,32.0,11111.112971544266,-4706.1514,880.11346
1.335842,32.0,11123.386197090149,-4704.762,878.60834
1.320553,32.0,11135.761720895767,-4929.3047,887.34784
1.2855855,32.0,11147.467171907425,-5457.5874,897.6799
1.2104006,32.0,11158.972836494446,-6606.919,891.1919
